token_count,rank_host,rank_country,ASNno,sec_sen_word_cnt,avg_token_length,No_of_dots,malicious,Length_of_url,avg_path_token,IPaddress_presence,Length_of_host,safebrowsing,URL,host,avg_domain_token_length,path_token_count,path,largest_domain,domain_token_count,largest_path,largest_token
4,-1,-1,13768,0,12.75,4,1,60,32,0,16,1,http://livescoresapp.in/fd5cd0c41aa2e4f9c0a376745a60d20f/...,livescoresapp.in,7.5,1,/fd5cd0c41aa2e4f9c0a376745a60d20f/...,13,2,32,32
10,14007425,-1,198149,0,5.9,4,1,73,5.285714286,0,19,1,http://llobregatcentre.com/wp-admin/css/colors/ectoplasm/cn3/c9263fa4a...,llobregatcentre.com,9,7,/wp-admin/css/colors/ectoplasm/cn3/c9263fa4a...,15,2,9,15
6,-1,-1,-1,0,4.5,2,1,34,3.666666667,0,13,0,http://lmagehost.net/img/imgit.jpg,lmagehost.net,6,3,/img/imgit.jpg,9,2,5,9
7,14513239,-1,199673,0,4.857142857,2,1,42,5.25,0,10,0,http://logicon.am/client/db2017/index.html,logicon.am,4.5,4,/client/db2017/index.html,7,2,6,7
6,586752,-1,6939,1,5.666666667,4,1,42,0,0,34,0,http://login.microsoftonline.com.webzz.us/,login.microsoftonline.com.webzz.us,6,0,/,15,5,0,15
9,13983654,-1,46606,0,5.222222222,5,1,61,4.8,0,21,0,http://loveseatdecore.com.mx/wp-content/themes/honey/font/...,loveseatdecore.com.mx,6.333333333,5,/wp-content/themes/honey/font/...,14,3,7,14
8,-1,-1,20013,0,7,5,1,68,8.333333333,0,15,1,http://luckhupchai.com/lfMsaatgTt/desktoplogin.php?personal=37495...,luckhupchai.com,7,3,/lfMsaatgTt/desktoplogin.php,11,2,12,12
8,2910767,-1,26347,0,7.625,4,1,73,9.2,0,12,1,http://maboneng.com/wp-admin/network/docs/397fbda728e8903926c0659f79aa...,maboneng.com,5.5,5,/wp-admin/network/docs/397fbda728e8903926c0659f79aa...,8,2,28,28
9,-1,-1,28299,0,6.666666667,6,1,73,7.166666667,0,14,0,http://magmaimage.com/st02/acesso.permitidow/area.clientew/autenticaca...,magmaimage.com,6.5,6,/st02/acesso.permitidow/area.clientew/autenticaca...,10,2,11,11
5,-1,-1,-1,0,4.4,2,1,29,3,0,17,0,http://mahilaawaj.org.np/cdc/,mahilaawaj.org.np,5,1,/cdc/,10,3,3,10
10,51850,2569,25519,1,5.9,5,1,73,6.333333333,0,19,0,http://mail01zo.beget.tech/Ameli/Assurance/Remboursement/login/info/9a...,mail01zo.beget.tech,5.666666667,6,/Ameli/Assurance/Remboursement/login/info/9a...,8,3,13,13
6,-1,-1,-1,0,6.5,4,1,50,7.5,0,22,0,http://maitre-electricien.net/pcs/eimprovement/...,maitre-electricien.net,6.666666667,2,/pcs/eimprovement/...,11,3,12,12
8,-1,-1,13354,0,7.625,4,1,73,8,0,18,1,http://manaveeyamnews.com/css/sed/GD/PI/afb3a7d12c2b0987ee19307c550d76...,manaveeyamnews.com,8.5,5,/css/sed/GD/PI/afb3a7d12c2b0987ee19307c550d76...,14,2,30,30
6,-1,-1,-1,0,4.833333333,2,1,36,3,0,25,0,http://marcacia-controles.com.br/new,marcacia-controles.com.br,5.5,1,/new,9,4,3,9
6,-1,-1,-1,0,4.833333333,2,1,37,3,0,25,1,http://marcacia-controles.com.br/new/,marcacia-controles.com.br,5.5,1,/new/,9,4,3,9
8,2208315,72479,39729,0,7.625,5,1,73,8.75,0,24,0,http://marina.ventodivenezia.it/sites/LudvCMA/customer_center/customer...,marina.ventodivenezia.it,7.333333333,4,/sites/LudvCMA/customer_center/customer...,14,3,15,15
4,-1,-1,47583,0,5.75,2,1,29,0,0,21,1,http://match812photos.hol.es/,match812photos.hol.es,6.333333333,0,/,14,3,0,14
6,37225,14887,47583,0,5.666666667,3,1,41,4.5,0,23,1,http://match972photos.890m.com/index.html,match972photos.890m.com,7,2,/index.html,14,3,5,14
4,-1,-1,47583,0,6.5,2,1,32,0,0,24,0,http://matchphotosnew7.16mb.com/,matchphotosnew7.16mb.com,7.333333333,0,/,15,3,0,15
8,-1,-1,32748,0,4.625,5,1,49,3.2,0,18,0,http://maticityonline.com/att/ssrmes/T/Y1.html...,maticityonline.com,8.5,5,/att/ssrmes/T/Y1.html...,14,2,6,14
3,-1,-1,-1,0,5,1,1,19,0,0,12,0,http://maxtravel.uz,maxtravel.uz,5.5,0,,9,2,0,9
6,-1,-1,32475,0,6,5,1,46,3,0,28,1,http://melbournetuckpointing.com.au/Terms&C...,melbournetuckpointing.com.au,8.666666667,2,/Terms&C...,21,3,5,21
7,-1,-1,33182,0,5,2,1,44,4.666666667,0,19,1,http://menukatamang.com.np/wp-content/sites/,menukatamang.com.np,5.666666667,3,/wp-content/sites/,12,3,7,12
3,-1,-1,36351,0,7.666666667,1,1,28,0,0,20,1,http://meubancodobrasil.com/,meubancodobrasil.com,9.5,0,/,16,2,0,16
6,21127,1619,29119,0,6.333333333,3,1,45,4,0,28,0,http://microservice.webcindario.com/page2.php,microservice.webcindario.com,8.666666667,2,/page2.php,12,3,5,12
8,-1,-1,49603,0,7.625,5,1,73,8.2,0,17,1,http://migaslarasera.com/includes/domit/ClienteSantanderSegu/index1.ph...,migaslarasera.com,8,5,/includes/domit/ClienteSantanderSegu/index1.ph...,13,2,20,20
4,-1,-1,14992,0,13.75,4,1,67,32,0,20,0,http://mightygodweserve.com/{]/f6279e12a23f60762acc90e9133fa526/...,mightygodweserve.com,9.5,1,/{]/f6279e12a23f60762acc90e9133fa526/...,16,2,32,32
10,-1,-1,5606,0,4,6,1,55,3,0,11,1,http://miniaero.ro/lol/Off/?email=anon.anon@anon.com...,miniaero.ro,5,2,/lol/Off/,8,2,3,8
8,-1,-1,-1,0,4.875,2,1,48,2.333333333,0,23,0,http://mixreleasegroup.cn:8080/ts/in.cgi?pepsi12,mixreleasegroup.cn:8080,7,3,/ts/in.cgi,15,3,3,15
9,51850,2569,25519,0,6.666666667,9,1,73,15,0,47,1,http://mobile.free.fr.particuliers.freemopx.beget.tech/793458723485394...,mobile.free.fr.particuliers.freemopx.beget.tech,5.857142857,1,/793458723485394...,12,7,15,15
4,14418282,-1,34619,0,5.75,1,1,29,7,0,13,0,http://moddahome.com/kfjfjkj/,moddahome.com,6,1,/kfjfjkj/,9,2,7,9
4,-1,-1,50970,0,11.25,4,1,54,32,0,10,1,http://moloals.cf/324664b4d26528abfe65ad10ddd63a2c/...,moloals.cf,4.5,1,/324664b4d26528abfe65ad10ddd63a2c/...,7,2,32,32
4,-1,-1,174,0,7,1,1,34,3,0,22,1,http://monespaceclients.world/fac/,monespaceclients.world,10.5,1,/fac/,16,2,3,16
8,6706441,-1,51167,0,7,5,1,69,5.6,0,25,0,http://moonwelfarefoundation.org/chinx/yahoo/login_verify2&.src=ym...,moonwelfarefoundation.org,12,5,/chinx/yahoo/login_verify2&.src=ym...,21,2,13,21
6,-1,-1,3561,0,3.666666667,2,1,29,3.666666667,0,8,0,http://morde.ws/101/index.php,morde.ws,3.5,3,/101/index.php,5,2,5,5
5,-1,-1,-1,0,5.4,2,1,33,4,0,16,0,http://moretraffcom.com/codec.exe,moretraffcom.com,7.5,2,/codec.exe,12,2,5,12
9,-1,-1,26496,0,6.666666667,4,1,73,4.666666667,0,29,1,http://morgantelimousineservices.com/booking/not-modified/app/web/uplo...,morgantelimousineservices.com,14,6,/booking/not-modified/app/web/uplo...,25,2,8,25
5,-1,-1,-1,0,6.4,2,1,38,4,0,21,0,http://movieaboutblogcom.com/codec.exe,movieaboutblogcom.com,10,2,/codec.exe,17,2,5,17
6,-1,-1,-1,0,4,2,1,31,4,0,14,0,http://mp3-hunter.com/codec.exe,mp3-hunter.com,4,2,/codec.exe,6,3,5,6
6,-1,-1,-1,0,3.5,2,1,28,4,0,11,0,http://mp3-now.net/codec.exe,mp3-now.net,3,2,/codec.exe,3,3,5,5
5,-1,-1,-1,0,4.6,2,1,29,4,0,12,0,http://mskphoto.com/codec.exe,mskphoto.com,5.5,2,/codec.exe,8,2,5,8
5,-1,-1,-1,0,6.4,2,1,38,4,0,21,0,http://musicmoviesnbooks.com/codec.exe,musicmoviesnbooks.com,10,2,/codec.exe,17,2,5,17
7,-1,-1,-1,0,4.285714286,2,1,38,4,0,16,0,http://mybest-adult.com/promo1/get.php,mybest-adult.com,4.666666667,3,/promo1/get.php,6,3,6,6
6,-1,-1,-1,0,5,2,1,37,4,0,15,0,http://mybigportal.com/promo1/get.php,mybigportal.com,7,3,/promo1/get.php,11,2,6,11
7,12809364,-1,263168,0,4.714285714,1,1,41,3.5,0,16,0,http://mychristbook.com/wp-includes/tmp/1,mychristbook.com,7.5,4,/wp-includes/tmp/1,12,2,8,12
5,-1,-1,55293,0,6,1,1,37,5,0,17,1,http://mycloversalon.com/impdoc/just/,mycloversalon.com,8,2,/impdoc/just/,13,2,6,13
6,-1,-1,20013,0,5.666666667,1,1,42,4,0,19,1,http://myinvisiblecity.com/wp-admin/sites/,myinvisiblecity.com,9,3,/wp-admin/sites/,15,2,5,15
6,-1,-1,-1,0,5,2,1,37,4,0,15,0,http://myperfection.ru/forum1/777.txt,myperfection.ru,7,3,/forum1/777.txt,12,2,6,12
4,-1,-1,-1,0,4.5,2,1,24,0,0,16,0,http://mypics3.webs.com/,mypics3.webs.com,4.666666667,0,/,7,3,0,7
5,-1,-1,-1,0,8.2,5,1,50,7,0,24,1,http://mypropertymanagement.com/accumulates.php...,mypropertymanagement.com,11.5,2,/accumulates.php...,20,2,11,20
9,-1,-1,-1,0,4.555555556,2,1,51,4.8,0,15,0,http://mysex-adult.com/promo1/soft/install-1557.exe,mysex-adult.com,4.333333333,5,/promo1/soft/install-1557.exe,5,3,7,7
5,-1,-1,-1,0,4.8,2,1,30,4,0,13,0,http://mythahost.com/codec.exe,mythahost.com,6,2,/codec.exe,9,2,5,9
7,-1,-1,-1,0,4,2,1,36,4,0,14,0,http://mytop-porn.com/promo1/get.php,mytop-porn.com,4,3,/promo1/get.php,5,3,6,6
5,-1,-1,-1,0,5.2,2,1,32,4,0,15,0,http://mywhoisinfo.com/codec.exe,mywhoisinfo.com,7,2,/codec.exe,11,2,5,11
4,-1,-1,20255,0,4.75,1,1,25,4,0,12,0,http://nalmeruy.com/loan/,nalmeruy.com,5.5,1,/loan/,8,2,4,8
8,-1,-1,-1,0,5,2,1,49,2.333333333,0,24,0,http://namecompanystore.cn:8080/ts/in.cgi?pepsi12,namecompanystore.cn:8080,7.333333333,3,/ts/in.cgi,16,3,3,16
8,-1,-1,-1,0,4.375,2,1,44,2.333333333,0,19,0,http://nameforshop.cn:8080/ts/in.cgi?pepsi12,nameforshop.cn:8080,5.666666667,3,/ts/in.cgi,11,3,3,11
3,-1,-1,40034,0,9.666666667,1,1,33,0,0,26,0,http://narrowroadpublications.com,narrowroadpublications.com,12.5,0,,22,2,0,22
6,-1,-1,20013,0,5.333333333,1,1,40,5.666666667,0,12,1,http://nazarbouw.nl/wp-includes/widgets/,nazarbouw.nl,5.5,3,/wp-includes/widgets/,9,2,8,9
7,19146653,-1,-1,0,6.428571429,5,1,56,5.75,0,19,1,http://nepalassociates.com/ggg/eimprovement/index.php...,nepalassociates.com,9,4,/ggg/eimprovement/index.php...,15,2,12,15
5,-1,-1,43541,0,5.8,1,1,35,0,0,28,0,http://nerez-schodiste-zabradli.com,nerez-schodiste-zabradli.com,6.25,0,,9,4,0,9
7,-1,-1,-1,0,4.285714286,3,1,38,3.5,0,13,1,http://nethttpnm.com/aol.com/index.htm,nethttpnm.com,6,4,/aol.com/index.htm,9,2,5,9
4,-1,-1,47583,0,6,2,1,30,0,0,22,1,http://newdcmatchphotos.pe.hu/,newdcmatchphotos.pe.hu,6.666666667,0,/,16,3,0,16
10,-1,-1,5503,0,5.9,5,1,73,7.333333333,0,13,0,http://news.armic.ru/campaigns/hr0947ahaz6b7/track-url/nl458012nmc68/b...,news.armic.ru,3.666666667,6,/campaigns/hr0947ahaz6b7/track-url/nl458012nmc68/b...,5,3,13,13
11,-1,-1,33182,0,5.272727273,6,1,73,5.5,0,20,1,http://nhuchhenirman.com.np/assets/images/stakes/webmail/index.php?ema...,nhuchhenirman.com.np,6,6,/assets/images/stakes/webmail/index.php,13,3,7,13
8,3673241,-1,34309,0,5.875,6,1,60,7,0,33,1,http://ni1243251-1.web20.nitrado.hosting/jeuxsnitra/ppds/...,ni1243251-1.web20.nitrado.hosting,5.8,2,/jeuxsnitra/ppds/...,9,5,10,10
8,3673241,-1,34309,0,7.625,6,1,73,14,0,33,0,http://ni1248777-2.web09.nitrado.hosting/e0q5e6a0e44b5q045e54b/e5a9q6a...,ni1248777-2.web09.nitrado.hosting,5.8,2,/e0q5e6a0e44b5q045e54b/e5a9q6a...,9,5,21,21
8,3673241,-1,34309,0,7.625,6,1,73,14,0,33,1,http://ni1251411-1.web17.nitrado.hosting/bs05e66a05e/424eacce8876b7d2d...,ni1251411-1.web17.nitrado.hosting,5.8,2,/bs05e66a05e/424eacce8876b7d2d...,9,5,17,17
8,3673241,-1,34309,0,7.625,6,1,73,14,0,33,1,http://ni1251411-2.web16.nitrado.hosting/derieocit/d948824f285f8310be4...,ni1251411-2.web16.nitrado.hosting,5.8,2,/derieocit/d948824f285f8310be4...,9,5,19,19
7,-1,-1,-1,1,6.142857143,5,1,54,5.25,0,19,1,http://nicholasemerson.com/verifypage/ssl/login.php...,nicholasemerson.com,9,4,/verifypage/ssl/login.php...,15,2,10,15
7,-1,-1,-1,0,4.142857143,2,1,37,3.666666667,0,16,0,http://nikonet-plus.com/vvn/cf_nn.bin,nikonet-plus.com,4.666666667,3,/vvn/cf_nn.bin,7,3,5,7
3,-1,-1,43541,0,6.333333333,1,1,23,0,0,16,0,http://nordiccountry.cz,nordiccountry.cz,7.5,0,,13,2,0,13
6,-1,-1,-1,0,5.833333333,2,1,42,6,0,14,0,http://note6scan.info/download/install.php,note6scan.info,6.5,3,/download/install.php,9,2,8,9
8,10884981,-1,13037,1,7.625,6,1,73,5.333333333,0,39,0,http://notification.mukhopadhyayfoundation.org/facebook/login.php?45af...,notification.mukhopadhyayfoundation.org,12.33333333,3,/facebook/login.php,22,3,8,22
3,-1,-1,25036,0,4.666666667,1,1,18,0,0,11,0,http://nowina.info,nowina.info,5,0,,6,2,0,6
6,-1,-1,13768,0,4,1,1,32,4,0,9,1,http://nttbc.com/bkup-html/moun/,nttbc.com,4,3,/bkup-html/moun/,5,2,4,5
4,-1,-1,-1,0,6,1,1,29,0,0,22,0,http://obada-konstruktiwa.org,obada-konstruktiwa.org,6.666666667,0,,12,3,0,12
10,-1,-1,36024,1,5.9,4,1,73,6.285714286,0,12,1,http://octobert.net/wp-content/themes/twentyfourteen/css/westpac/login...,octobert.net,5.5,7,/wp-content/themes/twentyfourteen/css/westpac/login...,8,2,14,14
13,7331281,-1,42293,0,4.307692308,6,1,73,3.5,0,18,0,http://offroadlastigi.com/eski/admin/view/js/jqueryui/1.8.24/themes/ba...,offroadlastigi.com,8.5,10,/eski/admin/view/js/jqueryui/1.8.24/themes/ba...,14,2,8,14
11,-1,-1,-1,1,5.181818182,6,1,73,3.6,0,11,1,http://oithair.com/js/flash/login.jsp.htm?id=mc1idx1gem--h6bmklv77yujp...,oithair.com,5,5,/js/flash/login.jsp.htm,7,2,5,13
9,-1,-1,26496,0,6.111111111,4,1,69,7,0,13,1,http://olenelife.com/sessions/paypal/?cmd=_home&dispatch=5885d80a1...,olenelife.com,6,2,/sessions/paypal/,9,2,8,9
12,-1,-1,24446,0,4.75,6,1,73,4.5,0,20,1,http://omegabuilding.com.au/wp-content/HNch/domain/china.php?rand=13In...,omegabuilding.com.au,6,6,/wp-content/HNch/domain/china.php,13,3,7,13
6,-1,-1,-1,0,5.666666667,2,1,41,6,0,13,0,http://one4scan.info/download/install.php,one4scan.info,6,3,/download/install.php,8,2,8,8
9,15166919,-1,26496,0,6.666666667,4,1,73,6.166666667,0,20,0,http://oneworldsymphony.org/wordpress/wp-content/plugins/wpsecone/comc...,oneworldsymphony.org,9.5,6,/wordpress/wp-content/plugins/wpsecone/comc...,16,2,9,16
5,-1,-1,-1,0,5.4,2,1,33,4,0,16,0,http://onlinefilms.name/codec.exe,onlinefilms.name,7.5,2,/codec.exe,11,2,5,11
3,-1,-1,-1,0,6,1,1,23,0,0,15,1,http://onlinerbtuk.com/,onlinerbtuk.com,7,0,/,11,2,0,11
6,11847626,-1,24446,0,7.5,4,1,56,5.666666667,0,25,1,http://optiwealthconsultancy.com/wp-includes/ourtime/...,optiwealthconsultancy.com,12,3,/wp-includes/ourtime/...,21,2,8,21
4,-1,-1,32244,0,7.25,1,1,34,15,0,11,0,http://ostudios.tv/christianmingle,ostudios.tv,5,1,/christianmingle,8,2,15,15
4,-1,-1,39729,0,3.5,1,1,20,5,0,6,0,http://oth.pt/https/,oth.pt,2.5,1,/https/,3,2,5,5
3,-1,-1,24806,0,7,1,1,25,0,0,18,0,http://otylkaaotesanek.cz,otylkaaotesanek.cz,8.5,0,,15,2,0,15
8,-1,-1,26496,1,7.625,5,1,73,9.4,0,11,0,http://ourrtime.co/BEST/Bid/31dc74be68ef1176cba9d33582b17986/login.php...,ourrtime.co,5,5,/BEST/Bid/31dc74be68ef1176cba9d33582b17986/login.php...,8,2,32,32
8,6393,2086,702,0,7.625,6,1,73,7.5,0,29,0,http://ourtimelink.000webhostapp.com/ourtimemini/ourtime123/ourtime.ph...,ourtimelink.000webhostapp.com,9,4,/ourtimemini/ourtime123/ourtime.ph...,13,3,11,13
5,-1,-1,40034,0,4.2,2,1,27,4,0,10,0,http://oxdiet.com/codec.exe,oxdiet.com,4.5,2,/codec.exe,6,2,5,6
7,81532,10725,39905,0,8.857142857,5,1,73,2,0,14,0,http://p4tre.emv3.com/HS?b=bC6fmnPboKmyryP_jDOUZMsMCZwhUOQlN06snjNiAK0...,p4tre.emv3.com,4,1,/HS,5,3,2,43
3,-1,-1,-1,0,4.333333333,1,1,17,0,0,10,0,http://pafdom.com,pafdom.com,4.5,0,,6,2,0,6
3,-1,-1,29873,0,8,1,1,28,0,0,21,0,http://pamperingdelights.com,pamperingdelights.com,10,0,,17,2,0,17
3,-1,-1,-1,0,6,1,1,22,0,0,15,0,http://partyhousecb.cz,partyhousecb.cz,7,0,,12,2,0,12
8,16288405,-1,-1,0,6,6,1,61,7,0,42,1,http://pavpal.com.webapps-myaccount-securetys.com/webapps/...,pavpal.com.webapps-myaccount-securetys.com,6.166666667,1,/webapps/...,9,6,7,9
31,-1,-1,-1,0,3.935483871,3,1,158,3.4,0,24,0,http://pay1.fastantivirus09.com/lo/FASTAV/1/index.php?pc_id=&uid=0&ls=1&bid=b_Unknown&t=day&np=&pid=3&sid=&wv=wvUnKnown&verint=&presale_id=6&abbr=FASTAV&pid=3,pay1.fastantivirus09.com,7.333333333,5,/lo/FASTAV/1/index.php,15,3,6,15
4,-1,-1,26496,0,4.5,1,1,23,0,0,16,0,http://pb-webdesign.net,pb-webdesign.net,4.666666667,0,,9,3,0,9
5,-1,-1,21219,0,7,1,1,42,5.5,0,21,0,http://pedreschiabogados.com/blssed/newgg/,pedreschiabogados.com,10,2,/blssed/newgg/,17,2,6,17
10,13502921,-1,-1,0,5.8,7,1,73,6.6,0,24,1,http://pendulum-wall-clocks.com/shop/payment/httpssecure2.store.apple....,pendulum-wall-clocks.com,5.25,5,/shop/payment/httpssecure2.store.apple....,8,4,12,12
4,-1,-1,24806,0,4.75,1,1,24,0,0,17,0,http://pension-helene.cz,pension-helene.cz,5,0,,7,3,0,7
10,14742324,-1,8972,0,5.9,5,1,73,3.4,0,23,1,http://perfectdigitalgroup.com/wp-admin/mman/ali.php?email=msimrkekr3m...,perfectdigitalgroup.com,11,5,/wp-admin/mman/ali.php,19,2,5,19
10,-1,-1,-1,0,5.8,10,1,73,0,0,66,0,http://personas.bancoestado.cl.seguridad.email.servicios.html.xn--viae...,personas.bancoestado.cl.seguridad.email.servicios.html.xn--viae...,6,0,,11,9,0,11
8,-1,-1,24446,0,4.25,3,1,43,3.6,0,13,1,http://picketech.com/sEE/king.zip/index.php,picketech.com,6,5,/sEE/king.zip/index.php,9,2,5,9
5,-1,-1,19066,0,5,1,1,31,4.5,0,13,0,http://piercebox.com/wp-plugins,piercebox.com,6,2,/wp-plugins,9,2,7,9
5,-1,-1,-1,0,5,2,1,31,4,0,14,0,http://pillsintop.com/codec.exe,pillsintop.com,6.5,2,/codec.exe,10,2,5,10
4,-1,-1,47583,0,5.25,2,1,26,0,0,19,1,http://pix39views.16mb.com,pix39views.16mb.com,5.666666667,0,,10,3,0,10
3,-1,-1,18779,0,4.666666667,1,1,18,0,0,11,0,http://plaloorz.cn,plaloorz.cn,5,0,,8,2,0,8
6,-1,-1,36351,0,9,6,1,64,5.5,0,41,1,http://plissconfrimfage1222.plisceeksfanspage.tk/payment.html...,plissconfrimfage1222.plisceeksfanspage.tk,13,2,/payment.html...,20,3,7,20
9,308681,37200,23352,1,5.444444444,6,1,62,5.25,0,27,0,http://pn-emailverification.nut.cc/accounts/login/login.php...,pn-emailverification.nut.cc,6,4,/accounts/login/login.php...,17,4,8,17
4,-1,-1,43541,0,5.25,2,1,26,0,0,19,0,http://podzemi.myotis.info,podzemi.myotis.info,5.666666667,0,,7,3,0,7
5,-1,-1,36351,0,5.8,2,1,36,3,0,24,0,http://poligrafiaeditora.com.br/tgf/,poligrafiaeditora.com.br,7.333333333,1,/tgf/,17,3,3,17
7,10536495,-1,36351,0,7.285714286,5,1,62,7.666666667,0,26,0,http://pontofriio.junhofertas.com/smartphone/galaxy-j7prime...,pontofriio.junhofertas.com,8,3,/smartphone/galaxy-j7prime...,11,3,10,11
8,-1,-1,-1,0,4,2,1,41,4,0,19,0,http://porn-hub-online.com/promo1/get.php,porn-hub-online.com,4,3,/promo1/get.php,6,4,6,6
8,-1,-1,-1,0,3.875,2,1,40,4,0,18,0,http://porn-tubes-hub.com/promo1/get.php,porn-tubes-hub.com,3.75,3,/promo1/get.php,5,4,6,6
5,-1,-1,-1,0,4.4,2,1,28,4,0,11,0,http://pornneo.com/codec.exe,pornneo.com,5,2,/codec.exe,7,2,5,7
9,7947060,-1,-1,0,6.555555556,5,1,73,8.2,0,11,0,http://positivo.co/xsl/error/others/9e9qavj7lqtzd5pw6pnd5gsy.php?rand=...,positivo.co,5,5,/xsl/error/others/9e9qavj7lqtzd5pw6pnd5gsy.php,8,2,24,24
4,-1,-1,-1,0,5.75,2,1,29,0,0,21,0,http://postepaymobile.eu.com/,postepaymobile.eu.com,6.333333333,0,/,14,3,0,14
8,-1,-1,-1,0,7.375,4,1,73,17,0,22,0,http://poupulaire-clie-nt.com/ch/b8aa5831d225c6197f8f838c18e4d7a4/?id=...,poupulaire-clie-nt.com,4.75,2,/ch/b8aa5831d225c6197f8f838c18e4d7a4/,10,4,32,32
5,-1,-1,-1,0,5.2,2,1,32,4,0,15,0,http://ppcroitrack.com/codec.exe,ppcroitrack.com,7,2,/codec.exe,11,2,5,11
7,-1,-1,47583,0,5.857142857,6,1,52,3.5,0,33,0,http://previdsocial-vempracaixa.16mb.com/home.php...,previdsocial-vempracaixa.16mb.com,7.5,2,/home.php...,12,4,4,12
